Date,Open,High,Low,Close,Adj Close,Volume
2020-05-29,50000.0,50700.0,49700.0,50700.0,45839.71875,27596961
2020-06-01,50800.0,51200.0,50600.0,51200.0,46291.7890625,16949183
2020-06-02,51000.0,51500.0,50800.0,51400.0,46472.60546875,14247933
2020-06-03,51800.0,55000.0,51700.0,54500.0,49275.4296875,49257814
2020-06-04,55800.0,57000.0,54600.0,54600.0,49365.83984375,40220334
2020-06-05,54400.0,55900.0,54000.0,55500.0,50179.5703125,22743629
2020-06-08,56400.0,56500.0,54700.0,54900.0,49637.078125,25634965
2020-06-09,55800.0,56500.0,54400.0,55500.0,50179.5703125,23998831
2020-06-10,55100.0,55900.0,54900.0,55400.0,50089.1484375,16742493
2020-06-11,54500.0,55100.0,53200.0,54300.0,49094.6015625,33815123
2020-06-12,52100.0,52800.0,51500.0,52300.0,47286.328125,26976019
2020-06-15,51400.0,52000.0,49900.0,49900.0,45116.40234375,28772921
2020-06-16,51200.0,52100.0,50600.0,52100.0,47105.5,21808375
2020-06-17,52100.0,52900.0,51300.0,52200.0,47195.9140625,26672595
2020-06-18,52200.0,52300.0,51600.0,52300.0,47286.328125,15982926
2020-06-19,52600.0,52900.0,51600.0,52900.0,47828.80859375,18157985
2020-06-22,52000.0,52600.0,51800.0,52000.0,47015.09375,13801350
2020-06-23,52500.0,52800.0,51100.0,51400.0,46472.60546875,18086152
2020-06-24,51900.0,53900.0,51600.0,52900.0,47828.80859375,24519552
2020-06-25,52100.0,53000.0,51900.0,51900.0,46924.67578125,18541624
2020-06-26,52800.0,53900.0,52200.0,53300.0,48190.4609375,21575360
2020-06-29,52500.0,53200.0,52000.0,52400.0,47693.51171875,17776925
2020-06-30,53900.0,53900.0,52800.0,52800.0,48057.578125,21157172
